siteReportId;conversationId;questionnaireId;dateReceived;dateReceivedDisplay;clientId;locationId;clientName;questionAnswer1;questionAnswer2;questionAnswer3;questionAnswer4;nPSQuestionAnswer;feedbackQuestionAnswer;submitForReward;madeOrIntentToMakePurchase;RegionID;Industry
55717;74106;36;2023-01-17 19:19:51.2566667 -05:00;2023/01/17 19:19;156;286;Client 3;8;2;2;9;10;The morehead location is clean (including bathrooms and fitting rooms) and is  well  stocked. It is our preferred location;VERDADERO;1;3;5
55716;74105;36;2023-01-17 19:19:05.1500000 -05:00;2023/01/17 19:19;156;80;Client 3;8;1;3;10;7;Neutral ;VERDADERO;1;3;5
55715;74104;39;2023-01-17 19:16:40.6400000 -05:00;2023/01/17 19:16;567;1167;Client 7;9;9;9;7;10;Neutral ;VERDADERO;1;14;5
55714;74103;24;2023-01-17 19:15:16.2666667 -05:00;2023/01/17 19:15;156;83;Client 3;15;7;7;6;8;Neutral ;VERDADERO;0;6;5
55713;74102;24;2023-01-17 19:11:34.5766667 -05:00;2023/01/17 19:11;156;285;Client 3;8;8;8;8;9;Neutral ;VERDADERO;0;3;5
55712;74101;30;2023-01-17 18:09:07.9600000 -06:00;2023/01/17 18:09;575;356;Client 5;10;10;10;10;10;Neutral ;VERDADERO;1;10;5
55711;74100;30;2023-01-17 18:04:52.3533333 -06:00;2023/01/17 18:04 (2);575;356;Client 5;10;10;10;10;10;client always has quality products that suit my tastes for a low price.;VERDADERO;1;10;5
55710;74099;30;2023-01-17 18:04:38.8233333 -06:00;2023/01/17 18:04 (1);575;356;Client 5;10;10;9;10;10;Neutral ;VERDADERO;1;10;5
55709;74094;24;2023-01-17 18:45:27.2866667 -05:00;2023/01/17 18:45;156;281;Client 3;10;10;10;10;10;Neutral ;VERDADERO;0;3;5
55708;74093;39;2023-01-17 18:45:26.5333333 -05:00;2023/01/17 18:45;567;1137;Client 7;8;8;8;8;8;Neutral ;VERDADERO;1;14;5
55707;74092;30;2023-01-17 17:37:33.2666667 -06:00;2023/01/17 17:37;575;356;Client 5;10;10;10;10;10;The employee named Sydney was amazing and very helpful you can tell she's very dedicated to her job and we always love seeing her face when we go into the store.;VERDADERO;1;10;5
55706;74091;30;2023-01-17 17:24:42.5733333 -06:00;2023/01/17 17:24;575;359;Client 5;6;8;7;7;8;Neutral ;VERDADERO;1;9;5
